"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\WebBlocking\WebBlocking.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\ReduxToolkit\Slices\CalendarSlice.jsx", "JavaScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 1, 24, 121
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\ReduxToolkit\Slices\ChallengeSlice.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 1, 6, 37
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\ReduxToolkit\Slices\CopyPasteSlice.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 2, 6, 52
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\ReduxToolkit\Slices\MessageSlice.jsx", "JavaScript JSX", 0, 0, 0, 87, 0, 0, 0, 0, 0, 19, 106
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\ReduxToolkit\Slices\PayoutSlice.jsx", "JavaScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 11, 18, 106
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\ReduxToolkit\Slices\PhotoSlice.jsx", "JavaScript JSX", 0, 0, 0, 89, 0, 0, 0, 0, 2, 19, 110
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\ReduxToolkit\Slices\Positions.jsx", "JavaScript JSX", 0, 0, 0, 171, 0, 0, 0, 0, 164, 32, 367
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\ReduxToolkit\store.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\Dollar.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 6
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\add.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\apps.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\location.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\media.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\message.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\partner.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 1, 2, 14
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\picture.svg", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 3, 17
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\scroll.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
